Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
group_3263,,hypothetical protein,BHJAACOI_02086,HKMEEOOC_01058,GENJCMKD_02161,GGNGMLNM_01340,FLPOMCPC_01433,FLNKFIAL_01460,GCMCGMEO_01334,KKDHGCNG_02087,KEENHLLD_02125,JLFNHPIJ_02202,CODCKMBH_01525,KIHHBJFA_01138,NANKJKFF_00153,CCGNCHJI_00531,GOFIAKIM_00532,DGCFMGAJ_00649,AACCAIGM_02223,GMEDNMEP_00876,FLLDPPMF_01058,LNLCNHAK_00690,KNGAMNHF_00238,LKGNFBEP_02220,KICAILHA_01098,MCNPKDLJ_00266,AACNPDCK_01091,GMLEFHEO_01826,KFNCPDAP_01894,IGDBGLLD_01762,OMFMOMKF_01714,HODLAEJM_00530,AFHPBIAF_00304,LHCGKHIJ_01860,AJEFBAEL_00410,OCDCHEMI_00649,CJKJNNNG_00232,EIGELMEO_00655,NGNHBKMG_00441,MEOJENFF_00859,KEGECLGJ_00354,AHOPDIHB_00821,CJININDG_00433,NDOGBOAP_00815,OAPFOPAL_01560,ACJGFGPL_00642,JGGIPLAJ_01539,PLGHJMOG_01448,LJBGMHMC_01490,DKGGAEON_02159,LIONBGAB_01318,BCBJMMFG_01146,FNKBOAAJ_01327,NBIGHBNP_01062,ABCKMHNF_00007,HAGCGINO_00932,HDNBEOBM_01655,CHKDFDKC_00953,FJKFCLGL_00998,BOLJFBOD_00976,KGEDCIMK_00146,OGANKOBH_01005,KHIGLMDP_00600,KCBPFIDL_00468,PGGCOMJD_00938,LDPIAJMB_00980,JHDPCHFA_01056,PGMBCLCL_00108,LEOIACCC_00035,OGHHNOBM_00266,HLJAHNNN_00976,HMAEAGFH_00557,JMBHJBPL_00725,LIOCNLML_00109,MMNKDKJC_01078,CIPIHPAA_01917,OHJNIDKA_01738,IHELPHKG_00290,JBLCIMDH_02364,OFEFOHCO_01579,BJBHHKKH_02252,HCNPNPGF_01553,BHFJFGML_01922,CCMCAHCO_01359,MLMKMFAK_00475,FMPCHCOO_01517,KDJAJFCO_00214,OHHPPKJL_01916,BADHAMCG_00268,DDALPCGJ_01567,HHABANBK_01905,IBMNCEGB_00300,OHPNAJOO_01727,CHPLCDPL_00748,EAOLOMHJ_01533,EKOBKANM_00739,DIAOIDPF_00220,IIDBPGJP_01541
group_3261,,hypothetical protein,BHJAACOI_02085,HKMEEOOC_01057,GENJCMKD_02162,GGNGMLNM_01341,FLPOMCPC_01434,FLNKFIAL_01459,GCMCGMEO_01333,KKDHGCNG_02086,KEENHLLD_02124,JLFNHPIJ_02203,CODCKMBH_01526,KIHHBJFA_01139,NANKJKFF_00154,CCGNCHJI_00530,GOFIAKIM_00531,DGCFMGAJ_00648,AACCAIGM_02224,GMEDNMEP_00875,FLLDPPMF_01059,LNLCNHAK_00691,KNGAMNHF_00239,LKGNFBEP_02219,KICAILHA_01097,MCNPKDLJ_00265,AACNPDCK_01090,GMLEFHEO_01827,KFNCPDAP_01893,IGDBGLLD_01761,OMFMOMKF_01715,HODLAEJM_00529,AFHPBIAF_00305,LHCGKHIJ_01861,AJEFBAEL_00409,OCDCHEMI_00650,CJKJNNNG_00233,EIGELMEO_00654,NGNHBKMG_00440,MEOJENFF_00858,KEGECLGJ_00353,AHOPDIHB_00822,CJININDG_00432,NDOGBOAP_00816,OAPFOPAL_01561,ACJGFGPL_00643,JGGIPLAJ_01540,PLGHJMOG_01449,LJBGMHMC_01491,DKGGAEON_02160,LIONBGAB_01317,BCBJMMFG_01145,FNKBOAAJ_01326,NBIGHBNP_01061,ABCKMHNF_00008,HAGCGINO_00933,HDNBEOBM_01654,CHKDFDKC_00952,FJKFCLGL_00997,BOLJFBOD_00975,KGEDCIMK_00147,OGANKOBH_01004,KHIGLMDP_00601,KCBPFIDL_00469,PGGCOMJD_00937,LDPIAJMB_00979,JHDPCHFA_01055,PGMBCLCL_00107,LEOIACCC_00036,OGHHNOBM_00265,HLJAHNNN_00977,HMAEAGFH_00558,JMBHJBPL_00724,LIOCNLML_00108,MMNKDKJC_01077,CIPIHPAA_01918,OHJNIDKA_01739,IHELPHKG_00289,JBLCIMDH_02365,OFEFOHCO_01578,BJBHHKKH_02251,HCNPNPGF_01554,BHFJFGML_01921,CCMCAHCO_01360,MLMKMFAK_00476,FMPCHCOO_01518,KDJAJFCO_00213,OHHPPKJL_01915,BADHAMCG_00267,DDALPCGJ_01568,HHABANBK_01904,IBMNCEGB_00301,OHPNAJOO_01726,CHPLCDPL_00749,EAOLOMHJ_01532,EKOBKANM_00740,DIAOIDPF_00221,IIDBPGJP_01540
group_3260,,putative membrane protein,BHJAACOI_01228,HKMEEOOC_01538,GENJCMKD_01317,GGNGMLNM_00392,FLPOMCPC_01132,FLNKFIAL_01164,GCMCGMEO_01194,KKDHGCNG_00858,KEENHLLD_01025,JLFNHPIJ_00279,CODCKMBH_00262,KIHHBJFA_00634,NANKJKFF_00494,CCGNCHJI_00125,GOFIAKIM_00191,DGCFMGAJ_00185,AACCAIGM_00230,GMEDNMEP_00306,FLLDPPMF_00076,LNLCNHAK_00220,KNGAMNHF_00830,LKGNFBEP_01660,KICAILHA_01612,MCNPKDLJ_00760,AACNPDCK_01589,GMLEFHEO_01119,KFNCPDAP_01330,IGDBGLLD_01138,OMFMOMKF_01861,HODLAEJM_00835,AFHPBIAF_00751,LHCGKHIJ_01185,AJEFBAEL_00696,OCDCHEMI_01063,CJKJNNNG_01130,EIGELMEO_01332,NGNHBKMG_00236,MEOJENFF_01574,KEGECLGJ_01286,AHOPDIHB_01194,CJININDG_00798,NDOGBOAP_01491,OAPFOPAL_01838,ACJGFGPL_00733,JGGIPLAJ_01247,PLGHJMOG_01739,LJBGMHMC_00646,DKGGAEON_00486,LIONBGAB_00640,BCBJMMFG_00187,FNKBOAAJ_00614,NBIGHBNP_00773,ABCKMHNF_00392,HAGCGINO_00718,HDNBEOBM_00810,CHKDFDKC_01453,FJKFCLGL_01501,BOLJFBOD_01468,KGEDCIMK_00814,OGANKOBH_01497,KHIGLMDP_00312,KCBPFIDL_02421,PGGCOMJD_01411,LDPIAJMB_01475,JHDPCHFA_01540,PGMBCLCL_00751,LEOIACCC_01801,OGHHNOBM_00754,HLJAHNNN_00489,HMAEAGFH_00458,JMBHJBPL_00170,LIOCNLML_01696,MMNKDKJC_01824,CIPIHPAA_00656,OHJNIDKA_00759,IHELPHKG_01406,JBLCIMDH_00919,OFEFOHCO_01311,BJBHHKKH_00726,HCNPNPGF_02324,BHFJFGML_01647,CCMCAHCO_00940,MLMKMFAK_01339,FMPCHCOO_00813,KDJAJFCO_02189,OHHPPKJL_01444,BADHAMCG_01061,DDALPCGJ_00016,HHABANBK_00511,IBMNCEGB_00526,OHPNAJOO_01441,CHPLCDPL_00189,EAOLOMHJ_00364,EKOBKANM_00562,DIAOIDPF_00900,IIDBPGJP_00129
group_3259,,hypothetical protein,BHJAACOI_02084,HKMEEOOC_01056,GENJCMKD_02163,GGNGMLNM_01342,FLPOMCPC_01435,FLNKFIAL_01458,GCMCGMEO_01332,KKDHGCNG_02085,KEENHLLD_02123,JLFNHPIJ_02204,CODCKMBH_01527,KIHHBJFA_01140,NANKJKFF_00155,CCGNCHJI_00529,GOFIAKIM_00530,DGCFMGAJ_00647,AACCAIGM_02225,GMEDNMEP_00874,FLLDPPMF_01060,LNLCNHAK_00692,KNGAMNHF_00240,LKGNFBEP_02218,KICAILHA_01096,MCNPKDLJ_00264,AACNPDCK_01089,GMLEFHEO_01828,KFNCPDAP_01892,IGDBGLLD_01760,OMFMOMKF_01716,HODLAEJM_00528,AFHPBIAF_00306,LHCGKHIJ_01862,AJEFBAEL_00408,OCDCHEMI_00651,CJKJNNNG_00234,EIGELMEO_00653,NGNHBKMG_00439,MEOJENFF_00857,KEGECLGJ_00352,AHOPDIHB_00823,CJININDG_00431,NDOGBOAP_00817,OAPFOPAL_01562,ACJGFGPL_00644,JGGIPLAJ_01541,PLGHJMOG_01450,LJBGMHMC_01492,DKGGAEON_02161,LIONBGAB_01316,BCBJMMFG_01144,FNKBOAAJ_01325,NBIGHBNP_01060,ABCKMHNF_00009,HAGCGINO_01645,HDNBEOBM_01653,CHKDFDKC_00951,FJKFCLGL_00996,BOLJFBOD_00974,KGEDCIMK_00148,OGANKOBH_01003,KHIGLMDP_00602,KCBPFIDL_00470,PGGCOMJD_00936,LDPIAJMB_00978,JHDPCHFA_01054,PGMBCLCL_00106,LEOIACCC_00037,OGHHNOBM_00264,HLJAHNNN_00978,HMAEAGFH_00559,JMBHJBPL_00723,LIOCNLML_00107,MMNKDKJC_01076,CIPIHPAA_01919,OHJNIDKA_01740,IHELPHKG_00288,JBLCIMDH_02366,OFEFOHCO_01577,BJBHHKKH_02250,HCNPNPGF_01555,BHFJFGML_01920,CCMCAHCO_01361,MLMKMFAK_00477,FMPCHCOO_01519,KDJAJFCO_00212,OHHPPKJL_01914,BADHAMCG_00266,DDALPCGJ_01569,HHABANBK_01903,IBMNCEGB_00302,OHPNAJOO_01725,CHPLCDPL_00750,EAOLOMHJ_01531,EKOBKANM_00741,DIAOIDPF_00222,IIDBPGJP_01539
putP,putP,High-affinity proline transporter PutP,BHJAACOI_02081,HKMEEOOC_01053,GENJCMKD_02166,GGNGMLNM_01345,FLPOMCPC_01438,FLNKFIAL_01455,GCMCGMEO_01329,KKDHGCNG_02082,KEENHLLD_02120,JLFNHPIJ_02207,CODCKMBH_01530,KIHHBJFA_01143,NANKJKFF_00158,CCGNCHJI_00526,GOFIAKIM_00527,DGCFMGAJ_00644,AACCAIGM_02228,GMEDNMEP_00871,FLLDPPMF_01063,LNLCNHAK_00695,KNGAMNHF_00243,LKGNFBEP_02215,KICAILHA_01093,MCNPKDLJ_00261,AACNPDCK_01086,GMLEFHEO_01831,KFNCPDAP_01889,IGDBGLLD_01757,OMFMOMKF_01719,HODLAEJM_00525,AFHPBIAF_00309,LHCGKHIJ_01865,AJEFBAEL_00405,OCDCHEMI_00654,CJKJNNNG_00237,EIGELMEO_00650,NGNHBKMG_00436,MEOJENFF_00854,KEGECLGJ_00349,AHOPDIHB_00826,CJININDG_00428,NDOGBOAP_00820,OAPFOPAL_01565,ACJGFGPL_00647,JGGIPLAJ_01544,PLGHJMOG_01453,LJBGMHMC_01495,DKGGAEON_02164,LIONBGAB_01313,BCBJMMFG_01141,FNKBOAAJ_01322,NBIGHBNP_01057,ABCKMHNF_00012,HAGCGINO_01642,HDNBEOBM_01293,CHKDFDKC_00948,FJKFCLGL_00993,BOLJFBOD_00971,KGEDCIMK_00151,OGANKOBH_01000,KHIGLMDP_00605,KCBPFIDL_00473,PGGCOMJD_00933,LDPIAJMB_00975,JHDPCHFA_01051,PGMBCLCL_00103,LEOIACCC_00040,OGHHNOBM_00261,HLJAHNNN_00981,HMAEAGFH_00562,JMBHJBPL_00720,LIOCNLML_00104,MMNKDKJC_01073,CIPIHPAA_01922,OHJNIDKA_01743,IHELPHKG_00285,JBLCIMDH_02369,OFEFOHCO_01574,BJBHHKKH_02247,HCNPNPGF_01558,BHFJFGML_01917,CCMCAHCO_01364,MLMKMFAK_00480,FMPCHCOO_01522,KDJAJFCO_00209,OHHPPKJL_01911,BADHAMCG_00263,DDALPCGJ_01572,HHABANBK_01900,IBMNCEGB_00305,OHPNAJOO_01722,CHPLCDPL_00753,EAOLOMHJ_01528,EKOBKANM_00744,DIAOIDPF_00225,IIDBPGJP_01536
group_3258,,hypothetical protein,BHJAACOI_02083,HKMEEOOC_01055,GENJCMKD_02164,GGNGMLNM_01343,FLPOMCPC_01436,FLNKFIAL_01457,GCMCGMEO_01331,KKDHGCNG_02084,KEENHLLD_02122,JLFNHPIJ_02205,CODCKMBH_01528,KIHHBJFA_01141,NANKJKFF_00156,CCGNCHJI_00528,GOFIAKIM_00529,DGCFMGAJ_00646,AACCAIGM_02226,GMEDNMEP_00873,FLLDPPMF_01061,LNLCNHAK_00693,KNGAMNHF_00241,LKGNFBEP_02217,KICAILHA_01095,MCNPKDLJ_00263,AACNPDCK_01088,GMLEFHEO_01829,KFNCPDAP_01891,IGDBGLLD_01759,OMFMOMKF_01717,HODLAEJM_00527,AFHPBIAF_00307,LHCGKHIJ_01863,AJEFBAEL_00407,OCDCHEMI_00652,CJKJNNNG_00235,EIGELMEO_00652,NGNHBKMG_00438,MEOJENFF_00856,KEGECLGJ_00351,AHOPDIHB_00824,CJININDG_00430,NDOGBOAP_00818,OAPFOPAL_01563,ACJGFGPL_00645,JGGIPLAJ_01542,PLGHJMOG_01451,LJBGMHMC_01493,DKGGAEON_02162,LIONBGAB_01315,BCBJMMFG_01143,FNKBOAAJ_01324,NBIGHBNP_01059,ABCKMHNF_00010,HAGCGINO_01644,HDNBEOBM_01295,CHKDFDKC_00950,FJKFCLGL_00995,BOLJFBOD_00973,KGEDCIMK_00149,OGANKOBH_01002,KHIGLMDP_00603,KCBPFIDL_00471,PGGCOMJD_00935,LDPIAJMB_00977,JHDPCHFA_01053,PGMBCLCL_00105,LEOIACCC_00038,OGHHNOBM_00263,HLJAHNNN_00979,HMAEAGFH_00560,JMBHJBPL_00722,LIOCNLML_00106,MMNKDKJC_01075,CIPIHPAA_01920,OHJNIDKA_01741,IHELPHKG_00287,JBLCIMDH_02367,OFEFOHCO_01576,BJBHHKKH_02249,HCNPNPGF_01556,BHFJFGML_01919,CCMCAHCO_01362,MLMKMFAK_00478,FMPCHCOO_01520,KDJAJFCO_00211,OHHPPKJL_01913,BADHAMCG_00265,DDALPCGJ_01570,HHABANBK_01902,IBMNCEGB_00303,OHPNAJOO_01724,CHPLCDPL_00751,EAOLOMHJ_01530,EKOBKANM_00742,DIAOIDPF_00223,IIDBPGJP_01538
rapA_1~~~rapA,rapA_1;rapA,RNA polymerase-associated protein RapA,BHJAACOI_02082,HKMEEOOC_01054,GENJCMKD_02165,GGNGMLNM_01344,FLPOMCPC_01437,FLNKFIAL_01456,GCMCGMEO_01330,KKDHGCNG_02083,KEENHLLD_02121,JLFNHPIJ_02206,CODCKMBH_01529,KIHHBJFA_01142,NANKJKFF_00157,CCGNCHJI_00527,GOFIAKIM_00528,DGCFMGAJ_00645,AACCAIGM_02227,GMEDNMEP_00872,FLLDPPMF_01062,LNLCNHAK_00694,KNGAMNHF_00242,LKGNFBEP_02216,KICAILHA_01094,MCNPKDLJ_00262,AACNPDCK_01087,GMLEFHEO_01830,KFNCPDAP_01890,IGDBGLLD_01758,OMFMOMKF_01718,HODLAEJM_00526,AFHPBIAF_00308,LHCGKHIJ_01864,AJEFBAEL_00406,OCDCHEMI_00653,CJKJNNNG_00236,EIGELMEO_00651,NGNHBKMG_00437,MEOJENFF_00855,KEGECLGJ_00350,AHOPDIHB_00825,CJININDG_00429,NDOGBOAP_00819,OAPFOPAL_01564,ACJGFGPL_00646,JGGIPLAJ_01543,PLGHJMOG_01452,LJBGMHMC_01494,DKGGAEON_02163,LIONBGAB_01314,BCBJMMFG_01142,FNKBOAAJ_01323,NBIGHBNP_01058,ABCKMHNF_00011,HAGCGINO_01643,HDNBEOBM_01294,CHKDFDKC_00949,FJKFCLGL_00994,BOLJFBOD_00972,KGEDCIMK_00150,OGANKOBH_01001,KHIGLMDP_00604,KCBPFIDL_00472,PGGCOMJD_00934,LDPIAJMB_00976,JHDPCHFA_01052,PGMBCLCL_00104,LEOIACCC_00039,OGHHNOBM_00262,HLJAHNNN_00980,HMAEAGFH_00561,JMBHJBPL_00721,LIOCNLML_00105,MMNKDKJC_01074,CIPIHPAA_01921,OHJNIDKA_01742,IHELPHKG_00286,JBLCIMDH_02368,OFEFOHCO_01575,BJBHHKKH_02248,HCNPNPGF_01557,BHFJFGML_01918,CCMCAHCO_01363,MLMKMFAK_00479,FMPCHCOO_01521,KDJAJFCO_00210,OHHPPKJL_01912,BADHAMCG_00264,DDALPCGJ_01571,HHABANBK_01901,IBMNCEGB_00304,OHPNAJOO_01723,CHPLCDPL_00752,EAOLOMHJ_01529,EKOBKANM_00743,DIAOIDPF_00224,IIDBPGJP_01537
group_3254,,hypothetical protein,BHJAACOI_02080,HKMEEOOC_01052,GENJCMKD_02167,GGNGMLNM_01346,FLPOMCPC_01439,FLNKFIAL_01454,GCMCGMEO_01328,KKDHGCNG_02081,KEENHLLD_02119,JLFNHPIJ_02208,CODCKMBH_01531,KIHHBJFA_01144,NANKJKFF_00159,CCGNCHJI_00525,GOFIAKIM_00526,DGCFMGAJ_00643,AACCAIGM_02229,GMEDNMEP_00870,FLLDPPMF_01064,LNLCNHAK_00696,KNGAMNHF_00244,LKGNFBEP_02214,KICAILHA_01092,MCNPKDLJ_00260,AACNPDCK_01085,GMLEFHEO_01832,KFNCPDAP_01888,IGDBGLLD_01756,OMFMOMKF_01720,HODLAEJM_00524,AFHPBIAF_00310,LHCGKHIJ_01866,AJEFBAEL_00404,OCDCHEMI_00655,CJKJNNNG_00238,EIGELMEO_00649,NGNHBKMG_00435,MEOJENFF_00853,KEGECLGJ_00348,AHOPDIHB_00827,CJININDG_00427,NDOGBOAP_00821,OAPFOPAL_01566,ACJGFGPL_00648,JGGIPLAJ_01545,PLGHJMOG_01454,LJBGMHMC_01496,DKGGAEON_02165,LIONBGAB_01312,BCBJMMFG_01140,FNKBOAAJ_01321,NBIGHBNP_01056,ABCKMHNF_00013,HAGCGINO_01641,HDNBEOBM_01292,CHKDFDKC_00947,FJKFCLGL_00992,BOLJFBOD_00970,KGEDCIMK_00152,OGANKOBH_00999,KHIGLMDP_00606,KCBPFIDL_00474,PGGCOMJD_00932,LDPIAJMB_00974,JHDPCHFA_01050,PGMBCLCL_00102,LEOIACCC_00041,OGHHNOBM_00260,HLJAHNNN_00982,HMAEAGFH_00563,JMBHJBPL_00719,LIOCNLML_00103,MMNKDKJC_01072,CIPIHPAA_01923,OHJNIDKA_01744,IHELPHKG_00284,JBLCIMDH_02370,OFEFOHCO_01573,BJBHHKKH_02246,HCNPNPGF_01559,BHFJFGML_01916;BHFJFGML_00001,CCMCAHCO_01365,MLMKMFAK_00481,FMPCHCOO_01523,KDJAJFCO_00208,OHHPPKJL_01910,BADHAMCG_00262,DDALPCGJ_01573,HHABANBK_01899,IBMNCEGB_00306,OHPNAJOO_01721,CHPLCDPL_00754,EAOLOMHJ_01527,EKOBKANM_00745,DIAOIDPF_00226,IIDBPGJP_01535
group_3253,,hypothetical protein,BHJAACOI_02079,HKMEEOOC_01051,GENJCMKD_02168,GGNGMLNM_01347,FLPOMCPC_01440,FLNKFIAL_01453,GCMCGMEO_01327,KKDHGCNG_02080,KEENHLLD_02118,JLFNHPIJ_02209,CODCKMBH_01532,KIHHBJFA_01145,NANKJKFF_00160,CCGNCHJI_00524,GOFIAKIM_00525,DGCFMGAJ_00642,AACCAIGM_02230,GMEDNMEP_00869,FLLDPPMF_01065,LNLCNHAK_00697,KNGAMNHF_00245,LKGNFBEP_02213,KICAILHA_01091,MCNPKDLJ_00259,AACNPDCK_01084,GMLEFHEO_01833,KFNCPDAP_01887,IGDBGLLD_01755,OMFMOMKF_01721,HODLAEJM_00523,AFHPBIAF_00311,LHCGKHIJ_01867,AJEFBAEL_00403,OCDCHEMI_00656,CJKJNNNG_00239,EIGELMEO_00648,NGNHBKMG_00434,MEOJENFF_00852,KEGECLGJ_00347,AHOPDIHB_00828,CJININDG_00426,NDOGBOAP_00822,OAPFOPAL_01567,ACJGFGPL_00649,JGGIPLAJ_01546,PLGHJMOG_01455,LJBGMHMC_01497,DKGGAEON_02166,LIONBGAB_01311,BCBJMMFG_01139,FNKBOAAJ_01320,NBIGHBNP_01055,ABCKMHNF_00014,HAGCGINO_01640,HDNBEOBM_01291,CHKDFDKC_00946,FJKFCLGL_00991,BOLJFBOD_00969,KGEDCIMK_00153,OGANKOBH_00998,KHIGLMDP_00607,KCBPFIDL_00475,PGGCOMJD_00931,LDPIAJMB_00973,JHDPCHFA_01049,PGMBCLCL_00101,LEOIACCC_00042,OGHHNOBM_00259,HLJAHNNN_00983,HMAEAGFH_00564,JMBHJBPL_00718,LIOCNLML_00102,MMNKDKJC_01071,CIPIHPAA_01924,OHJNIDKA_01745,IHELPHKG_00283,JBLCIMDH_02371,OFEFOHCO_01572,BJBHHKKH_02245,HCNPNPGF_01560,BHFJFGML_00002,CCMCAHCO_01366,MLMKMFAK_00482,FMPCHCOO_01524,KDJAJFCO_00207,OHHPPKJL_01909,BADHAMCG_00261,DDALPCGJ_01574,HHABANBK_01898,IBMNCEGB_00307,OHPNAJOO_01720,CHPLCDPL_00755,EAOLOMHJ_01526,EKOBKANM_00746,DIAOIDPF_00227,IIDBPGJP_01534
group_3251,,hypothetical protein,BHJAACOI_02078,HKMEEOOC_01050,GENJCMKD_02169,GGNGMLNM_01348,FLPOMCPC_01441,FLNKFIAL_01452,GCMCGMEO_01326,KKDHGCNG_02079,KEENHLLD_02117,JLFNHPIJ_02210,CODCKMBH_01533,KIHHBJFA_01146,NANKJKFF_00161,CCGNCHJI_00523,GOFIAKIM_00524,DGCFMGAJ_00641,AACCAIGM_02231,GMEDNMEP_00868,FLLDPPMF_01066,LNLCNHAK_00698,KNGAMNHF_00246,LKGNFBEP_02212,KICAILHA_01090,MCNPKDLJ_00258,AACNPDCK_01083,GMLEFHEO_01834,KFNCPDAP_01886,IGDBGLLD_01754,OMFMOMKF_01722,HODLAEJM_00522,AFHPBIAF_00312,LHCGKHIJ_01868,AJEFBAEL_00402,OCDCHEMI_00657,CJKJNNNG_00240,EIGELMEO_00647,NGNHBKMG_00433,MEOJENFF_00851,KEGECLGJ_00346,AHOPDIHB_00829,CJININDG_00425,NDOGBOAP_00823,OAPFOPAL_01568,ACJGFGPL_00650,JGGIPLAJ_01547,PLGHJMOG_01456,LJBGMHMC_01498,DKGGAEON_02167,LIONBGAB_01310,BCBJMMFG_01138,FNKBOAAJ_01319,NBIGHBNP_01054,ABCKMHNF_00015,HAGCGINO_01639,HDNBEOBM_01290,CHKDFDKC_00945,FJKFCLGL_00990,BOLJFBOD_00968,KGEDCIMK_00154,OGANKOBH_00997,KHIGLMDP_00608,KCBPFIDL_00476,PGGCOMJD_00930,LDPIAJMB_00972,JHDPCHFA_01048,PGMBCLCL_00100,LEOIACCC_00043,OGHHNOBM_00258,HLJAHNNN_00984,HMAEAGFH_00565,JMBHJBPL_00717,LIOCNLML_00101,MMNKDKJC_01070,CIPIHPAA_01925,OHJNIDKA_01746,IHELPHKG_00282,JBLCIMDH_02372,OFEFOHCO_01571,BJBHHKKH_02244,HCNPNPGF_01561,BHFJFGML_00003,CCMCAHCO_01367,MLMKMFAK_00483,FMPCHCOO_01525,KDJAJFCO_00206,OHHPPKJL_01908,BADHAMCG_00260;BADHAMCG_00259,DDALPCGJ_01575,HHABANBK_01897,IBMNCEGB_00308,OHPNAJOO_01719,CHPLCDPL_00756,EAOLOMHJ_01525,EKOBKANM_00747,DIAOIDPF_00228,IIDBPGJP_01533
deaD,deaD,ATP-dependent RNA helicase DeaD,BHJAACOI_02077,HKMEEOOC_01049,GENJCMKD_02170,GGNGMLNM_01349,FLPOMCPC_01442,FLNKFIAL_01451,GCMCGMEO_01325,KKDHGCNG_02078,KEENHLLD_02116,JLFNHPIJ_02211,CODCKMBH_01534,KIHHBJFA_01147,NANKJKFF_00162,CCGNCHJI_00522,GOFIAKIM_00523,DGCFMGAJ_00640,AACCAIGM_02232,GMEDNMEP_00867,FLLDPPMF_01067,LNLCNHAK_00699,KNGAMNHF_00247,LKGNFBEP_02211,KICAILHA_01089,MCNPKDLJ_00257,AACNPDCK_01082,GMLEFHEO_01835,KFNCPDAP_01885,IGDBGLLD_01753,OMFMOMKF_01723,HODLAEJM_00521,AFHPBIAF_00313,LHCGKHIJ_01869,AJEFBAEL_00401,OCDCHEMI_00658,CJKJNNNG_00241,EIGELMEO_00646,NGNHBKMG_00432,MEOJENFF_00850,KEGECLGJ_00345,AHOPDIHB_00830,CJININDG_00424,NDOGBOAP_00824,OAPFOPAL_01569,ACJGFGPL_00651,JGGIPLAJ_01548,PLGHJMOG_01457,LJBGMHMC_01499,DKGGAEON_02168,LIONBGAB_01309,BCBJMMFG_01137,FNKBOAAJ_01318,NBIGHBNP_01053,ABCKMHNF_00016,HAGCGINO_01638,HDNBEOBM_01289,CHKDFDKC_00944,FJKFCLGL_00989,BOLJFBOD_00967,KGEDCIMK_00155,OGANKOBH_00996,KHIGLMDP_00609,KCBPFIDL_00477,PGGCOMJD_00929,LDPIAJMB_00971,JHDPCHFA_01047,PGMBCLCL_00099,LEOIACCC_00044,OGHHNOBM_00257,HLJAHNNN_00985,HMAEAGFH_00566,JMBHJBPL_00716,LIOCNLML_00100,MMNKDKJC_01069,CIPIHPAA_01926,OHJNIDKA_01747,IHELPHKG_00281,JBLCIMDH_00725,OFEFOHCO_01570,BJBHHKKH_02243,HCNPNPGF_01562,BHFJFGML_00004,CCMCAHCO_01368,MLMKMFAK_00484,FMPCHCOO_01526,KDJAJFCO_00205,OHHPPKJL_00597,BADHAMCG_00258,DDALPCGJ_01576,HHABANBK_01896,IBMNCEGB_00309,OHPNAJOO_01718,CHPLCDPL_00757,EAOLOMHJ_01524,EKOBKANM_00748,DIAOIDPF_00229,IIDBPGJP_01706
